source,target,area,type
Alejandro Aravena,Gonzalo Bascuñan,Diseño Espacios y Objetos,area
Alejandro Aravena,Abel Carcamo,Diseño Espacios y Objetos,area
Alejandro Aravena,Juskani Alonso,Diseño Espacios y Objetos,area
Alejandro Aravena,David Del Portillo,Diseño Espacios y Objetos,area
Alejandro Aravena,Natalia Criado,Diseño Espacios y Objetos,area
Alejandro Aravena,Luciana Gonzalez,Diseño Espacios y Objetos,area
Alejandro Aravena,Alejandra Lamelas,Diseño Espacios y Objetos,area
Alejandro Aravena,Christian Vivanco,Diseño Espacios y Objetos,area
Alejandro Aravena,Ignacia Murtagh,Diseño Espacios y Objetos,area
Gonzalo Bascuñan,Abel Carcamo,Diseño Espacios y Objetos,area
Gonzalo Bascuñan,Juskani Alonso,Diseño Espacios y Objetos,area
Gonzalo Bascuñan,David Del Portillo,Diseño Espacios y Objetos,area
Gonzalo Bascuñan,Natalia Criado,Diseño Espacios y Objetos,area
Gonzalo Bascuñan,Luciana Gonzalez,Diseño Espacios y Objetos,area
Gonzalo Bascuñan,Alejandra Lamelas,Diseño Espacios y Objetos,area
Gonzalo Bascuñan,Christian Vivanco,Diseño Espacios y Objetos,area
Gonzalo Bascuñan,Ignacia Murtagh,Diseño Espacios y Objetos,area
Abel Carcamo,Juskani Alonso,Diseño Espacios y Objetos,area
Abel Carcamo,David Del Portillo,Diseño Espacios y Objetos,area
Abel Carcamo,Natalia Criado,Diseño Espacios y Objetos,area
Abel Carcamo,Luciana Gonzalez,Diseño Espacios y Objetos,area
Abel Carcamo,Alejandra Lamelas,Diseño Espacios y Objetos,area
Abel Carcamo,Christian Vivanco,Diseño Espacios y Objetos,area
Abel Carcamo,Ignacia Murtagh,Diseño Espacios y Objetos,area
Juskani Alonso,David Del Portillo,Diseño Espacios y Objetos,area
Juskani Alonso,Natalia Criado,Diseño Espacios y Objetos,area
Juskani Alonso,Luciana Gonzalez,Diseño Espacios y Objetos,area
Juskani Alonso,Alejandra Lamelas,Diseño Espacios y Objetos,area
Juskani Alonso,Christian Vivanco,Diseño Espacios y Objetos,area
Juskani Alonso,Ignacia Murtagh,Diseño Espacios y Objetos,area
David Del Portillo,Natalia Criado,Diseño Espacios y Objetos,area
David Del Portillo,Luciana Gonzalez,Diseño Espacios y Objetos,area
David Del Portillo,Alejandra Lamelas,Diseño Espacios y Objetos,area
David Del Portillo,Christian Vivanco,Diseño Espacios y Objetos,area
David Del Portillo,Ignacia Murtagh,Diseño Espacios y Objetos,area
Natalia Criado,Luciana Gonzalez,Diseño Espacios y Objetos,area
Natalia Criado,Alejandra Lamelas,Diseño Espacios y Objetos,area
Natalia Criado,Christian Vivanco,Diseño Espacios y Objetos,area
Natalia Criado,Ignacia Murtagh,Diseño Espacios y Objetos,area
Luciana Gonzalez,Alejandra Lamelas,Diseño Espacios y Objetos,area
Luciana Gonzalez,Christian Vivanco,Diseño Espacios y Objetos,area
Luciana Gonzalez,Ignacia Murtagh,Diseño Espacios y Objetos,area
Alejandra Lamelas,Christian Vivanco,Diseño Espacios y Objetos,area
Alejandra Lamelas,Ignacia Murtagh,Diseño Espacios y Objetos,area
Christian Vivanco,Ignacia Murtagh,Diseño Espacios y Objetos,area
Felix Beltran,Alberto Montt,Diseño Grafico,area
Felix Beltran,Andrea Torres,Diseño Grafico,area
Felix Beltran,Ximena Ulibarri,Diseño Grafico,area
Felix Beltran,Jorge Alderete,Diseño Grafico,area
Felix Beltran,Carlos Cadenas,Diseño Grafico,area
Felix Beltran,Tite Barbuzza,Diseño Grafico,area
Felix Beltran,Osvaldo Zorzano,Diseño Grafico,area
Felix Beltran,Catalina Bustos,Diseño Grafico,area
Alberto Montt,Andrea Torres,Diseño Grafico,area
Alberto Montt,Ximena Ulibarri,Diseño Grafico,area
Alberto Montt,Jorge Alderete,Diseño Grafico,area
Alberto Montt,Carlos Cadenas,Diseño Grafico,area
Alberto Montt,Tite Barbuzza,Diseño Grafico,area
Alberto Montt,Osvaldo Zorzano,Diseño Grafico,area
Alberto Montt,Catalina Bustos,Diseño Grafico,area
Andrea Torres,Ximena Ulibarri,Diseño Grafico,area
Andrea Torres,Jorge Alderete,Diseño Grafico,area
Andrea Torres,Carlos Cadenas,Diseño Grafico,area
Andrea Torres,Tite Barbuzza,Diseño Grafico,area
Andrea Torres,Osvaldo Zorzano,Diseño Grafico,area
Andrea Torres,Catalina Bustos,Diseño Grafico,area
Ximena Ulibarri,Jorge Alderete,Diseño Grafico,area
Ximena Ulibarri,Carlos Cadenas,Diseño Grafico,area
Ximena Ulibarri,Tite Barbuzza,Diseño Grafico,area
Ximena Ulibarri,Osvaldo Zorzano,Diseño Grafico,area
Ximena Ulibarri,Catalina Bustos,Diseño Grafico,area
Jorge Alderete,Carlos Cadenas,Diseño Grafico,area
Jorge Alderete,Tite Barbuzza,Diseño Grafico,area
Jorge Alderete,Osvaldo Zorzano,Diseño Grafico,area
Jorge Alderete,Catalina Bustos,Diseño Grafico,area
Carlos Cadenas,Tite Barbuzza,Diseño Grafico,area
Carlos Cadenas,Osvaldo Zorzano,Diseño Grafico,area
Carlos Cadenas,Catalina Bustos,Diseño Grafico,area
Tite Barbuzza,Osvaldo Zorzano,Diseño Grafico,area
Tite Barbuzza,Catalina Bustos,Diseño Grafico,area
Osvaldo Zorzano,Catalina Bustos,Diseño Grafico,area
Priscilla Huaman,Diego Yañez,Diseño de Moda,area
Priscilla Huaman,Gabriela Hearst,Diseño de Moda,area
Priscilla Huaman,Kika Vargas,Diseño de Moda,area
Priscilla Huaman,Silvia Tcherassi,Diseño de Moda,area
Priscilla Huaman,Claudio Montaño,Diseño de Moda,area
Priscilla Huaman,María Cornejo,Diseño de Moda,area
Priscilla Huaman,Lupe Gajardo,Diseño de Moda,area
Priscilla Huaman,Antonio Contreras,Diseño de Moda,area
Priscilla Huaman,Claudia Anicy,Diseño de Moda,area
Diego Yañez,Gabriela Hearst,Diseño de Moda,area
Diego Yañez,Kika Vargas,Diseño de Moda,area
Diego Yañez,Silvia Tcherassi,Diseño de Moda,area
Diego Yañez,Claudio Montaño,Diseño de Moda,area
Diego Yañez,María Cornejo,Diseño de Moda,area
Diego Yañez,Lupe Gajardo,Diseño de Moda,area
Diego Yañez,Antonio Contreras,Diseño de Moda,area
Diego Yañez,Claudia Anicy,Diseño de Moda,area
Gabriela Hearst,Kika Vargas,Diseño de Moda,area
Gabriela Hearst,Silvia Tcherassi,Diseño de Moda,area
Gabriela Hearst,Claudio Montaño,Diseño de Moda,area
Gabriela Hearst,María Cornejo,Diseño de Moda,area
Gabriela Hearst,Lupe Gajardo,Diseño de Moda,area
Gabriela Hearst,Antonio Contreras,Diseño de Moda,area
Gabriela Hearst,Claudia Anicy,Diseño de Moda,area
Kika Vargas,Silvia Tcherassi,Diseño de Moda,area
Kika Vargas,Claudio Montaño,Diseño de Moda,area
Kika Vargas,María Cornejo,Diseño de Moda,area
Kika Vargas,Lupe Gajardo,Diseño de Moda,area
Kika Vargas,Antonio Contreras,Diseño de Moda,area
Kika Vargas,Claudia Anicy,Diseño de Moda,area
Silvia Tcherassi,Claudio Montaño,Diseño de Moda,area
Silvia Tcherassi,María Cornejo,Diseño de Moda,area
Silvia Tcherassi,Lupe Gajardo,Diseño de Moda,area
Silvia Tcherassi,Antonio Contreras,Diseño de Moda,area
Silvia Tcherassi,Claudia Anicy,Diseño de Moda,area
Claudio Montaño,María Cornejo,Diseño de Moda,area
Claudio Montaño,Lupe Gajardo,Diseño de Moda,area
Claudio Montaño,Antonio Contreras,Diseño de Moda,area
Claudio Montaño,Claudia Anicy,Diseño de Moda,area
María Cornejo,Lupe Gajardo,Diseño de Moda,area
María Cornejo,Antonio Contreras,Diseño de Moda,area
María Cornejo,Claudia Anicy,Diseño de Moda,area
Lupe Gajardo,Antonio Contreras,Diseño de Moda,area
Lupe Gajardo,Claudia Anicy,Diseño de Moda,area
Antonio Contreras,Claudia Anicy,Diseño de Moda,area
Matias Duarte,Dario Osorio,UX/UI,area
Matias Duarte,Ivel  Hernandez,UX/UI,area
Matias Duarte,Cruz Contreras,UX/UI,area
Matias Duarte,Pablo Stanley,UX/UI,area
Matias Duarte,Hector Outlet,UX/UI,area
Matias Duarte,Fabricio Teixeira,UX/UI,area
Matias Duarte,Santiago Bustelo,UX/UI,area
Matias Duarte,Sofía Quintero,UX/UI,area
Matias Duarte,Ximena Vengoechea,UX/UI,area
Dario Osorio,Ivel  Hernandez,UX/UI,area
Dario Osorio,Cruz Contreras,UX/UI,area
Dario Osorio,Pablo Stanley,UX/UI,area
Dario Osorio,Hector Outlet,UX/UI,area
Dario Osorio,Fabricio Teixeira,UX/UI,area
Dario Osorio,Santiago Bustelo,UX/UI,area
Dario Osorio,Sofía Quintero,UX/UI,area
Dario Osorio,Ximena Vengoechea,UX/UI,area
Ivel  Hernandez,Cruz Contreras,UX/UI,area
Ivel  Hernandez,Pablo Stanley,UX/UI,area
Ivel  Hernandez,Hector Outlet,UX/UI,area
Ivel  Hernandez,Fabricio Teixeira,UX/UI,area
Ivel  Hernandez,Santiago Bustelo,UX/UI,area
Ivel  Hernandez,Sofía Quintero,UX/UI,area
Ivel  Hernandez,Ximena Vengoechea,UX/UI,area
Cruz Contreras,Pablo Stanley,UX/UI,area
Cruz Contreras,Hector Outlet,UX/UI,area
Cruz Contreras,Fabricio Teixeira,UX/UI,area
Cruz Contreras,Santiago Bustelo,UX/UI,area
Cruz Contreras,Sofía Quintero,UX/UI,area
Cruz Contreras,Ximena Vengoechea,UX/UI,area
Pablo Stanley,Hector Outlet,UX/UI,area
Pablo Stanley,Fabricio Teixeira,UX/UI,area
Pablo Stanley,Santiago Bustelo,UX/UI,area
Pablo Stanley,Sofía Quintero,UX/UI,area
Pablo Stanley,Ximena Vengoechea,UX/UI,area
