id,area,valor_1,valor_2
Matias Duarte,UX/UI,Innovación,Experiencia
Dario Osorio,UX/UI,Educación,Cultura
Ivel  Hernandez,UX/UI,Educación,Arte
Cruz Contreras,UX/UI,Educación,Arte
Pablo Stanley,UX/UI,Democratizacion,Educacion
Hector Outlet,UX/UI,Accesibilidad,Simpicidad
Fabricio Teixeira,UX/UI,Educacion,Comunidad
Santiago Bustelo,UX/UI,Datos,Profesional
Sofía Quintero,UX/UI,Aprendizaje,Experiencia
Ximena Vengoechea,UX/UI,Aprendizaje,Experiencia
Felix Beltran,Diseño Grafico,Cultura,Arte
Alberto Montt,Diseño Grafico,Critica,Humor
Andrea Torres,Diseño Grafico,Tradicion,Arte
Ximena Ulibarri,Diseño Grafico,Critica,Educacion
Jorge Alderete,Diseño Grafico,Cultura,Latino
Carlos Cadenas,Diseño Grafico,Autenticidad,Arte
Tite Barbuzza,Diseño Grafico,Autenticidad,Arte
Osvaldo Zorzano,Diseño Grafico,Educación,Innovacion
Catalina Bustos,Diseño Grafico,Emociones,Experiencia
Alejandro Aravena,Diseño Espacios y Objetos,Sostenibilidad,Equidad
Gonzalo Bascuñan,Diseño Espacios y Objetos,Memoria,Educacion
Abel Carcamo,Diseño Espacios y Objetos,Educacion,Sostenibilidad
Juskani Alonso,Diseño Espacios y Objetos,Cultura,Experimentacion
David Del Portillo,Diseño Espacios y Objetos,Precision,Claridad
Natalia Criado,Diseño Espacios y Objetos,Belleza,Sostenibilidad
Luciana Gonzalez,Diseño Espacios y Objetos,Sostenibilidad,Arte
Alejandra Lamelas,Diseño Espacios y Objetos,Reutilizacion,Comunidad
Christian Vivanco,Diseño Espacios y Objetos,Cotidianidad,Experiencia
Ignacia Murtagh,Diseño Espacios y Objetos,Materialidad,Experiencia
Priscilla Huaman,Diseño de Moda,Sustentabilidad,Cultura
Diego Yañez,Diseño de Moda,Memoria,Activismo
Gabriela Hearst,Diseño de Moda,Sostenibilidad,Cultura
Kika Vargas,Diseño de Moda,Expresion,Autenticidad
Silvia Tcherassi,Diseño de Moda,Elegancia accesible,Empoderamiento Feminino
Claudio Montaño,Diseño de Moda,Autenticidad Visual,Creatividad
María Cornejo,Diseño de Moda,Sostenibilidad,Empoderamiento Feminino
Lupe Gajardo,Diseño de Moda,Identidad local,Educacion
Antonio Contreras,Diseño de Moda,Identidad local,Educacion
Claudia Anicy,Diseño de Moda,Disidencia,Critica
